orgnr,name,org_form,status,freshness_status,industry_code,industry_description,employee_count,ceo_name,board_chair,revenue,currency,latest_financial_year,last_verified_at
932162342,2MINUTTER AS,AS,Active / Operating,CURRENT,59.110,"Produksjon av film, video og fjernsynsprogrammer",,,,,NOK,,2026-09-14T10:08:24.625053+00:00
927419319,3D TEGNING AS,AS,Active / Operating,CURRENT,71.121,Byggeteknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:27.949351+00:00
931874012,3D VASK AS,AS,Active / Operating,CURRENT,95.310,Reparasjon og vedlikehold av motorvogner,,,,,NOK,,2026-09-14T10:08:27.949351+00:00
929403851,2MINUTTER STUDIO AS,AS,Active / Operating,CURRENT,59.110,"Produksjon av film, video og fjernsynsprogrammer",,,,,NOK,,2026-09-14T10:08:24.625053+00:00
917714266,3D TEKNIKK AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:27.949351+00:00
922178488,1EARTH HOLDING AS,AS,Active / Operating,CURRENT,70.200,Bedriftsrådgivning og annen administrativ rådgivning,,,,,NOK,,2026-09-14T10:08:20.381324+00:00
936584489,2ML INVEST AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:24.626054+00:00
998884160,2MINITZ AS,AS,Active / Operating,CURRENT,62.200,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,NOK,,2026-09-14T10:08:24.625053+00:00
928332381,2MORROW INVEST AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:24.626054+00:00
993807117,1ELEKTRIKER AS,AS,Active / Operating,CURRENT,43.210,Elektrisk installasjonsarbeid,,,,,NOK,,2026-09-14T10:08:20.381324+00:00
936155073,2MOVE AS,AS,Active / Operating,CURRENT,85.510,Undervisning innenfor idrett og rekreasjon,,,,,NOK,,2026-09-14T10:08:24.626054+00:00
997471466,1DAYSERVICE TOTALBYGG AS,AS,Active / Operating,CURRENT,41.000,Oppføring av bygninger,,,,,NOK,,2026-09-14T10:08:20.380326+00:00
830300252,=SPORT AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,,Petter Normann Rudi,0.0,NOK,2025,2026-09-14T10:08:08.585397+00:00
934592875,3D SCANDINAVIA AS,AS,Active / Operating,CURRENT,73.110,Reklamebyråvirksomhet,,,,,NOK,,2026-09-14T10:08:27.949351+00:00
990142041,3D VERIFIER AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:27.949351+00:00
925504149,3D VERKSTEDET AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,,,,NOK,,2026-09-14T10:08:28.554221+00:00
837000602,0000 NORGE AS,AS,Active / Operating,CURRENT,79.121,Aktiviteter utført av utflukts- og eventarrangører,,,Shire Marius Standnes,,NOK,,2026-09-14T10:08:09.059914+00:00
931687050,1G1 INVEST AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:20.382325+00:00
922673055,2MREN AS,AS,Active / Operating,CURRENT,71.121,Byggeteknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:24.626054+00:00
920415458,3D VISUALISERING OG DESIGN AS,AS,Active / Operating,CURRENT,74.120,Grafisk design og visuell kommunikasjonsdesign,,,,,NOK,,2026-09-14T10:08:28.554762+00:00
921826885,0001 INVEST AS,AS,Active / Operating,CURRENT,64.323,Andre egeninvesteringsselskaper,,,Terje Mjømen,,NOK,2025,2026-09-14T10:08:09.060911+00:00
921825846,1H HOLDING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:20.382325+00:00
923438114,2MT HOLDING AS,AS,Active / Operating,CURRENT,56.300,Drift av barer,,,,,NOK,,2026-09-14T10:08:24.627065+00:00
934893824,006 HOLDING AS,AS,Active / Operating,CURRENT,59.200,Produksjon og utgivelse av musikk- og lydopptak,,,Lars Syljusveen,0.0,NOK,2025,2026-09-14T10:08:08.828210+00:00
923874844,1HARMONI AS,AS,Active / Operating,CURRENT,59.110,"Produksjon av film, video og fjernsynsprogrammer",,,,,NOK,,2026-09-14T10:08:20.382325+00:00
912530485,2MTR AS,AS,Active / Operating,CURRENT,70.200,Bedriftsrådgivning og annen administrativ rådgivning,,,,,NOK,,2026-09-14T10:08:24.627065+00:00
915119433,3D-COMPONENTS AS,AS,Active / Operating,CURRENT,28.410,Produksjon av maskiner og maskinverktøy til metallbearbeiding,,,,,NOK,,2026-09-14T10:08:28.555272+00:00
917572305,007 TRANSPORT AS,AS,Active / Operating,CURRENT,53.200,Andre post- og budtjenester,,Derek Colin Dawson,Kai Wille Holtan,508039.0,NOK,2024,2026-09-14T10:08:09.063930+00:00
893311742,2MTT AS,AS,Active / Operating,CURRENT,68.120,Utvikling og salg av byggeprosjekter,,,,,NOK,,2026-09-14T10:08:24.627065+00:00
995311321,1HJELP.NO AS,AS,Active / Operating,CURRENT,85.597,Annen undervisning ellers,,,,,NOK,,2026-09-14T10:08:20.383327+00:00
995003163,3D-ELEKTRONIKK AS,AS,Active / Operating,CURRENT,43.210,Elektrisk installasjonsarbeid,,,,,NOK,,2026-09-14T10:08:28.555272+00:00
919732725,00NATION AS,AS,Active / Operating,CURRENT,93.292,Fritidsvirksomhet ellers,,Tore Sebastian Damhaug Geurts,Runar Eidsaa,20815071.0,NOK,2024,2026-09-14T10:08:09.065937+00:00
931629107,1ESTÅENDE AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:20.382325+00:00
923271805,0-STRESS FRISØR AS,AS,Active / Operating,CURRENT,96.210,Frisering og barbering,,,Kristin Myrvågnes,1444186.0,NOK,2025,2026-09-14T10:08:08.828210+00:00
935690048,2N CYBER AS,AS,Active / Operating,CURRENT,62.200,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,NOK,,2026-09-14T10:08:24.627065+00:00
939188371,3D-ELEKTROSENTER AS,AS,Active / Operating,CURRENT,47.400,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr,,,,,NOK,,2026-09-14T10:08:28.555272+00:00
935211026,00SMART AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,Mohsen Hosamo,Mohsen Hosamo,100000.0,NOK,2025,2026-09-14T10:08:09.067933+00:00
935538432,1JON AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:20.383837+00:00
995677105,2N EIENDOM AS,AS,Active / Operating,CURRENT,68.200,Utleie av egen eller leid fast eiendom,,,,,NOK,,2026-09-14T10:08:24.627065+00:00
920334504,3D-KNITTING & TECHNOLOGY AS,AS,Active / Operating,CURRENT,13.960,Produksjon av tekstiler til teknisk og industriell bruk,,,,,NOK,,2026-09-14T10:08:28.555272+00:00
